ID,Label
4983,1
4984,1
4985,2
4986,1
4987,2
4988,1
4989,1
4990,1
4991,1
4992,1
4993,1
4994,1
4995,1
4996,1
4997,1
4998,1
4999,1
5000,1
5001,2
5002,1
5003,0
5004,0
5005,2
5006,1
5007,2
5008,1
5009,2
5010,1
5011,1
5012,1
5013,1
5014,1
5015,2
5016,1
5017,1
5018,1
5019,1
5020,1
5021,2
5022,1
5023,1
5024,1
5025,2
5026,1
5027,1
5028,1
5029,2
5030,1
5031,1
5032,1
5033,1
5034,2
5035,1
5036,1
5037,1
5038,1
5039,1
5040,2
5041,1
5042,1
5043,1
5044,2
5045,0
5046,2
5047,1
5048,2
5049,2
5050,1
5051,2
5052,1
5053,1
5054,1
5055,1
5056,1
5057,0
5058,1
5059,1
5060,1
5061,1
5062,1
5063,1
5064,2
5065,0
5066,2
5067,1
5068,2
5069,1
5070,2
5071,2
5072,1
5073,1
5074,1
5075,1
5076,2
5077,1
5078,1
5079,2
5080,1
5081,2
5082,1
5083,1
5084,1
5085,0
5086,1
5087,1
5088,1
5089,2
5090,1
5091,1
5092,1
5093,2
5094,1
5095,2
5096,1
5097,1
5098,1
5099,2
5100,2
5101,2
5102,1
5103,2
5104,1
5105,1
5106,2
5107,1
5108,1
5109,1
5110,1
5111,1
5112,1
5113,2
5114,1
5115,1
5116,1
5117,1
5118,1
5119,0
5120,1
5121,1
5122,2
5123,1
5124,2
5125,2
5126,2
5127,2
5128,1
5129,1
5130,1
5131,1
5132,2
5133,1
5134,1
5135,1
5136,0
5137,2
5138,1
5139,1
5140,2
5141,1
5142,1
5143,1
5144,1
5145,1
5146,1
5147,1
5148,1
5149,1
5150,2
5151,2
5152,1
5153,1
5154,2
5155,2
5156,1
5157,1
5158,2
5159,1
5160,1
5161,1
5162,1
5163,1
5164,1
5165,2
5166,0
5167,2
5168,1
5169,2
5170,1
5171,1
5172,1
5173,1
5174,1
5175,1
5176,2
5177,1
5178,2
5179,1
5180,2
5181,2
5182,0
5183,0
5184,1
5185,1
5186,1
5187,1
5188,1
5189,1
5190,2
5191,1
5192,1
5193,1
5194,1
5195,1
5196,1
5197,1
5198,2
5199,1
5200,1
5201,1
5202,2
5203,1
5204,1
5205,1
5206,2
5207,1
5208,1
5209,2
5210,1
5211,1
5212,1
5213,1
5214,1
5215,1
5216,1
5217,1
5218,1
5219,1
5220,1
5221,1
5222,1
5223,1
5224,1
5225,1
5226,1
5227,1
5228,2
5229,1
5230,2
5231,1
5232,1
5233,1
5234,1
5235,1
5236,2
5237,0
5238,1
5239,1
5240,1
5241,1
5242,1
5243,2
5244,1
5245,1
5246,2
5247,1
5248,1
5249,1
5250,1
5251,1
5252,2
5253,1
5254,1
5255,2
5256,1
5257,1
5258,1
5259,1
5260,1
5261,2
5262,1
5263,2
5264,1
5265,1
5266,1
5267,2
5268,1
5269,1
5270,1
5271,2
5272,1
5273,1
5274,2
5275,2
5276,1
5277,1
5278,0
5279,2
5280,2
5281,2
5282,1
5283,2
5284,2
5285,1
5286,2
5287,1
5288,1
5289,2
5290,1
5291,1
5292,1
5293,1
5294,1
5295,1
5296,1
5297,1
5298,1
5299,0
5300,1
5301,1
5302,1
5303,1
5304,1
5305,1
5306,1
5307,2
5308,1
5309,1
5310,1
5311,2
5312,1
5313,1
5314,0
5315,1
5316,2
5317,2
5318,1
5319,1
5320,1
5321,2
5322,1
5323,1
5324,2
5325,1
5326,1
5327,1
5328,1
5329,1
5330,2
5331,2
5332,1
5333,1
5334,1
5335,1
5336,1
5337,1
5338,1
5339,1
5340,1
5341,1
5342,1
5343,1
5344,1
5345,1
5346,1
5347,1
5348,1
5349,1
5350,1
5351,1
5352,2
5353,2
5354,2
5355,2
5356,1
5357,2
5358,1
5359,1
5360,1
5361,2
5362,1
5363,1
5364,1
5365,1
5366,1
5367,2
5368,1
5369,1
5370,2
5371,2
5372,2
5373,2
5374,1
5375,2
5376,1
5377,1
5378,1
5379,1
5380,1
5381,1
5382,1
5383,1
5384,1
5385,1
5386,1
5387,1
5388,1
5389,1
5390,1
5391,1
5392,2
5393,0
5394,1
5395,1
5396,1
5397,1
5398,1
5399,1
5400,2
5401,2
5402,1
5403,2
5404,2
5405,2
5406,2
5407,1
5408,1
5409,1
5410,1
5411,1
5412,1
5413,2
5414,1
5415,2
5416,2
5417,1
5418,2
5419,2
5420,1
5421,1
5422,1
5423,1
5424,1
5425,1
5426,1
5427,0
5428,1
5429,2
5430,1
5431,2
5432,1
5433,1
5434,1
5435,1
5436,1
5437,1
5438,1
5439,1
5440,1
5441,0
5442,1
5443,2
5444,1
5445,1
5446,1
5447,1
5448,2
5449,2
5450,2
5451,1
5452,1
5453,2
5454,1
5455,1
5456,1
5457,1
5458,1
5459,2
5460,1
5461,1
5462,1
5463,2
5464,1
5465,1
5466,2
5467,2
5468,1
5469,2
5470,1
5471,2
5472,1
5473,2
5474,2
5475,1
5476,1
5477,2
5478,0
5479,1
5480,2
5481,1
5482,2
5483,1
5484,1
5485,1
5486,2
5487,1
5488,1
5489,1
5490,1
5491,1
5492,2
5493,2
5494,1
5495,1
5496,1
5497,1
5498,2
5499,2
5500,1
5501,1
5502,1
5503,1
5504,2
5505,2
5506,2
5507,1
5508,2
5509,1
5510,0
5511,2
5512,1
5513,1
5514,1
5515,1
5516,1
5517,1
5518,0
5519,1
5520,2
5521,1
5522,1
5523,1
5524,1
5525,1
5526,1
5527,1
5528,1
5529,1
5530,1
5531,1
5532,1
5533,1
5534,1
5535,1
5536,1
5537,0
5538,1
5539,1
5540,0
5541,1
5542,1
5543,1
5544,0
5545,1
5546,1
5547,1
5548,0
5549,2
5550,1
5551,2
5552,1
5553,1
5554,0
5555,1
5556,1
5557,1
5558,1
5559,1
5560,1
5561,1
5562,1
5563,2
5564,1
5565,1
5566,1
5567,1
5568,0
5569,1
5570,0
5571,1
5572,2
5573,1
5574,1
5575,1
5576,1
5577,1
5578,1
5579,1
5580,1
5581,2
5582,1
5583,1
5584,1
5585,1
5586,1
5587,1
5588,2
5589,2
5590,1
5591,1
5592,2
5593,2
5594,1
5595,1
5596,1
5597,1
5598,1
5599,0
5600,2
5601,1
5602,2
5603,2
5604,1
5605,1
5606,1
5607,1
5608,2
5609,2
5610,2
5611,2
5612,1
5613,2
5614,2
5615,1
5616,2
5617,1
5618,1
5619,1
5620,1
5621,1
5622,2
5623,0
5624,1
5625,2
5626,1
5627,2
5628,2
5629,2
5630,2
5631,1
5632,1
5633,1
5634,2
5635,2
5636,2
5637,1
5638,2
5639,1
5640,1
5641,1
5642,1
5643,1
5644,1
5645,1
5646,1
5647,2
5648,2
5649,2
5650,2
5651,1
5652,1
5653,2
5654,0
5655,2
5656,2
5657,1
5658,1
5659,1
5660,2
5661,1
5662,1
5663,2
5664,1
5665,1
5666,2
5667,2
5668,0
5669,1
5670,1
5671,1
5672,1
5673,1
5674,1
5675,1
5676,1
5677,2
5678,1
5679,1
5680,1
5681,2
5682,1
5683,2
5684,1
5685,2
5686,1
5687,1
5688,1
5689,1
5690,1
5691,1
5692,2
5693,1
5694,1
5695,1
5696,1
5697,1
5698,1
5699,1
5700,1
5701,1
5702,1
5703,2
5704,1
5705,1
5706,0
5707,1
5708,1
5709,2
5710,1
5711,1
5712,1
5713,1
5714,1
5715,2
5716,1
5717,1
5718,2
5719,2
5720,1
5721,1
5722,1
5723,0
5724,1
5725,2
5726,1
5727,2
5728,1
5729,1
5730,2
5731,1
5732,2
5733,1
5734,1
5735,1
5736,1
5737,2
5738,1
5739,2
5740,2
5741,1
5742,1
5743,1
5744,1
5745,0
5746,1
5747,2
5748,2
5749,1
5750,2
5751,1
5752,2
5753,1
5754,1
5755,1
5756,1
5757,1
5758,1
5759,1
5760,1
5761,1
5762,2
5763,1
5764,1
5765,1
5766,1
5767,1
5768,2
5769,1
5770,2
5771,1
5772,1
5773,1
5774,1
5775,1
5776,1
5777,2
5778,0
5779,1
5780,1
5781,1
5782,1
5783,1
5784,1
5785,2
5786,1
5787,1
5788,1
5789,1
5790,1
5791,2
5792,1
5793,1
5794,1
5795,1
5796,2
5797,1
5798,2
5799,2
5800,0
5801,1
5802,1
5803,2
5804,2
5805,1
5806,1
5807,2
5808,1
5809,1
5810,1
5811,1
5812,2
5813,1
5814,2
5815,1
5816,1
5817,1
5818,2
5819,1
5820,1
5821,1
5822,1
5823,0
5824,1
5825,1
5826,0
5827,1
5828,1
5829,1
5830,1
5831,1
5832,1
5833,0
5834,2
5835,1
5836,1
5837,1
5838,1
5839,1
5840,0
5841,2
5842,1
